id,asins,brand,categories,colors,dateAdded,name,prices.amountMin,prices.currency
AVpe4CzkLJeJML43xPY-,"B00ZC3O308,B00ZC3NR3C,B00VZ5A6JY",GBX,"Men,Oxford & Derby,Shoes,Clothing, Shoes & Jewelry,Boots",Black,2016-04-20T04:56:24Z,Mens Leather Boots Combat Military Style Lace Up Ankle High Zip Shoes,104.99,USD
AVpfJ6WuilAPnD_xWHeI,"B01C66UGDQ,B01C66UGCW,B01C66UGEA,B01C66UGCC",Billionaire Boys Club,"Men,Clothing, Shoes & Jewelry,Clothing","Black,Heather Grey",2016-06-14T22:09:07Z,Billionaire Boys Club Approach Landing Sweatpants Eusp16003,136.00,USD
AVpfDmhGilAPnD_xT-Sh,"B01AZ6835M,B01AZ672D6",Nike,"Athletic,Skateboarding,Men,Shoes,Clothing, Shoes & Jewelry","ObsidianTm RdWhiteMtllc Gld,Red,Medium Grey White",2016-05-22T18:03:07Z,Zoom Stefan Janoski Cnvs Mens Skateboarding-shoes 615957-402_13 - Ocean Fog/white/gum Light Brown/black,58.61,USD
AVpfEBcRilAPnD_xUHu2,"B00DYXLYIC,B00DYXLWOS,B00KR4OKCS,B00DYXM1MU,B0108T2TT2,B00DYXMC42",Vibram,"Athletic,Men,Running,Shoes,Clothing, Shoes & Jewelry","Black  Blue,Black,GreyBlack,BlueBlack",2015-12-02T00:42:56Z,Men's Kso Evo Cross Training Shoe,75.00,USD
AVpe68kC1cnluZ0-Z3bE,"B016L0HR4E,B00L8APWPY",Big Accessories,"Men's Hats,Bags & Accessories,Men's Accessories,Clothing, Shoes & Jewelry","BLACK,BLUE CHAMBRAY,NAVY,Black Chambray,Grey,BlackWhite,NavyWhite",2016-02-14T04:57:54Z,Big Accessories Baseball Cap Ba516 Men's Flat Bill,16.66,USD
AVpfCg061cnluZ0-ckiW,B00S5EIWAS,Nike,"Shoes,Clothing, Shoes & Jewelry,Men,Athletic,Team Sports,Basketball","Black  Sail,Brown",2016-02-06T20:52:13Z,"Kd7 Ext Qs pony Hair"" Men's Basketball Shoes""",109.00,USD
AVpfUX8R1cnluZ0-igr4,B003LVYFUG,,"Clothing,Clothing, Shoes & Jewelry,Men,Surf, Skate & Street,Jeans",Fume,2015-08-17T18:15:03Z,Levi's Men's 527 Slim Bootcut Jean,39.99,USD
AVpfVPRELJeJML437P-H,B005FGJALE,Medline,"Casual,Men,Scrubs,Home Health Care,Health,Clothing, Shoes & Jewelry,Pants,Clothing",Multi-Colored,2017-01-09T20:14:19Z,Medline Angelstat Reversible Drawstring Scrub Pant,19.49,USD
AVpe8SVuLJeJML43y05y,B00WORGRYK,TooLoud,"Novelty,Baseball Caps,Accessories,Novelty & More,Men,Clothing, Shoes & Jewelry,Clothing,Hats & Caps","White,Khaki",2015-12-04T23:35:32Z,Tooloud Mother - Periodic Table Adult Baseball Cap Hat,20.00,USD
AVpe8SpCLJeJML43y0_Q,B019HEQ71U,Plixio,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Brown,2016-11-09T17:16:33Z,1 Piece Wooden Adjustable Shoe Stretcher Mens Size 9-13 Vintage Shaper,12.99,USD
